agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,Special Enforcement,35,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,38,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,39,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,41,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,42,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,49,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,57,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Enforcement,64,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Natural Area District (SNAD),1,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Natural Area District (SNAD),2,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Natural Area District (SNAD),5,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Natural Area District (SNAD),8,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Natural Area District (SNAD),10,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),0,17,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),1,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),2,11,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),3,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),4,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),5,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),6,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),7,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),8,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),9,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),10,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),11,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),12,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),13,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),14,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),15,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),16,7,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),17,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),19,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),20,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),21,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),22,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),23,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),24,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),25,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),26,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),27,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),28,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),29,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),30,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),31,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),32,1,12,2017-05-29T22:38:45.331470
